Open time,Open,High,Low,Close,Volume
1540771200000.0,0.008024,0.00805,0.007603,0.007753,135991.61
1540857600000.0,0.007753,0.007826,0.007726,0.007791,63790.7
1540944000000.0,0.007789,0.00793,0.007675,0.007841,68369.04
1541030400000.0,0.007838,0.007928,0.007783,0.0079,70506.52
1541116800000.0,0.007903,0.008099,0.007885,0.00805,80544.57
1541203200000.0,0.008049,0.008084,0.007919,0.007988,62548.79
1541289600000.0,0.007993,0.008663,0.007912,0.008417,189243.98
1541376000000.0,0.008423,0.008503,0.008218,0.008342,112694.44
1541462400000.0,0.008342,0.008685,0.008321,0.008662,119307.81
1541548800000.0,0.008662,0.008679,0.008192,0.008281,119119.76
1541635200000.0,0.008282,0.008351,0.0081,0.008139,76667.15
1541721600000.0,0.008127,0.008194,0.008072,0.008133,45928.39
1541808000000.0,0.008133,0.008197,0.008096,0.008158,30615.54
1541894400000.0,0.008157,0.008158,0.007847,0.007965,58541.08
1541980800000.0,0.007983,0.008031,0.007853,0.007937,55844.16
1542067200000.0,0.007929,0.007993,0.007682,0.007803,76105.91
1542153600000.0,0.007799,0.00787,0.007137,0.007616,177744.61
1542240000000.0,0.007615,0.00789,0.007538,0.007772,155838.23
1542326400000.0,0.007787,0.007802,0.007551,0.007593,82503.78
1542412800000.0,0.007593,0.00761,0.007501,0.007535,52655.57
1542499200000.0,0.007545,0.007643,0.007476,0.007521,47172.69
1542585600000.0,0.007522,0.007573,0.007055,0.007538,161704.12
1542672000000.0,0.007538,0.007704,0.0071,0.007412,246283.44
1542758400000.0,0.00739,0.00755,0.007234,0.007541,125402.12
1542844800000.0,0.00753,0.007584,0.007344,0.007347,76344.75
1542931200000.0,0.007347,0.007569,0.007287,0.007415,87274.49
1543017600000.0,0.007409,0.00763,0.007314,0.007558,100227.95
1543104000000.0,0.007558,0.00777,0.007421,0.00771,186618.55
1543190400000.0,0.007708,0.007954,0.007587,0.007823,180978.86
1543276800000.0,0.007811,0.008165,0.00779,0.008156,117325.7
1543363200000.0,0.008156,0.008398,0.007927,0.008153,159381.89
1543449600000.0,0.008151,0.008241,0.007864,0.00789,100642.27
1543536000000.0,0.00789,0.008031,0.007763,0.007965,81790.43
1543622400000.0,0.007964,0.008245,0.007878,0.008152,69477.34
1543708800000.0,0.008155,0.008217,0.008037,0.008114,60311.51
1543795200000.0,0.008131,0.00815,0.007807,0.007956,78553.91
1543881600000.0,0.007956,0.008008,0.00786,0.00787,72512.81
1543968000000.0,0.007882,0.007965,0.0077,0.007769,77074.71
1544054400000.0,0.007769,0.007891,0.007478,0.007615,158957.41
1544140800000.0,0.007629,0.007695,0.00688,0.007325,226985.64
1544227200000.0,0.007325,0.007681,0.006923,0.007119,197625.54
1544313600000.0,0.007114,0.007476,0.007104,0.007155,110380.88
1544400000000.0,0.007155,0.007193,0.006935,0.007036,86859.06
1544486400000.0,0.007036,0.007142,0.00688,0.006925,71474.62
1544572800000.0,0.006937,0.007191,0.0069,0.007016,88817.05
1544659200000.0,0.007008,0.007082,0.006963,0.006989,79663.21
1544745600000.0,0.006989,0.007248,0.006901,0.007234,97231.75
1544832000000.0,0.007231,0.007412,0.00715,0.007343,85121.47
1544918400000.0,0.007342,0.008204,0.007337,0.007906,281182.67
1545004800000.0,0.007903,0.008542,0.00788,0.008258,260586.36
1545091200000.0,0.008253,0.008338,0.008006,0.0082,158784.65
1545177600000.0,0.0082,0.008469,0.007805,0.007871,243465.36
1545264000000.0,0.007871,0.00805,0.007646,0.007936,199357.31
1545350400000.0,0.007946,0.008,0.007732,0.007889,138869.82
1545436800000.0,0.00788,0.007973,0.007821,0.007912,92759.63
1545523200000.0,0.007934,0.008526,0.007921,0.008388,175290.77
1545609600000.0,0.008382,0.008637,0.008053,0.008158,262282.07
1545696000000.0,0.00815,0.00825,0.008,0.008142,183359.78
1545782400000.0,0.008149,0.008288,0.007772,0.008015,180678.45
1545868800000.0,0.008016,0.008094,0.007583,0.007721,187867.27
1545955200000.0,0.007722,0.008506,0.007717,0.008277,262119.45
1546041600000.0,0.008275,0.00848,0.008106,0.0082,198504.26
1546128000000.0,0.0082,0.008326,0.008122,0.008254,132864.3
1546214400000.0,0.00825,0.008275,0.008025,0.00809,109909.3
1546300800000.0,0.00809,0.008494,0.008025,0.008294,83763.03
1546387200000.0,0.008294,0.008581,0.008283,0.008474,113812.38
1546473600000.0,0.008471,0.008507,0.008206,0.008337,115418.57
1546560000000.0,0.008336,0.00857,0.008264,0.008379,114554.84
1546646400000.0,0.008381,0.009455,0.008381,0.009107,362012.1
1546732800000.0,0.009107,0.010121,0.009017,0.009602,610408.32
1546819200000.0,0.009604,0.009756,0.009286,0.009398,329757.53
1546905600000.0,0.009393,0.010097,0.009337,0.009785,351962.54
1546992000000.0,0.009785,0.009948,0.009603,0.009625,229566.09
1547078400000.0,0.009625,0.009726,0.008874,0.009152,341968.34
1547164800000.0,0.009152,0.009207,0.008656,0.008741,265058.26
1547251200000.0,0.008745,0.008892,0.00868,0.008835,128006.81
1547337600000.0,0.008835,0.009073,0.008431,0.008508,152524.92
1547424000000.0,0.008517,0.008884,0.008485,0.008749,151100.22
1547510400000.0,0.008747,0.008873,0.008502,0.008659,163049.83
1547596800000.0,0.008652,0.008766,0.008572,0.008709,109599.74
1547683200000.0,0.008708,0.008745,0.008388,0.008689,175926.96
1547769600000.0,0.008683,0.008708,0.008481,0.008562,107528.59
1547856000000.0,0.008561,0.00887,0.008559,0.008725,120354.83
1547942400000.0,0.008723,0.00906,0.008511,0.008652,174727.06
1548028800000.0,0.008661,0.008794,0.008642,0.008738,79512.43
1548115200000.0,0.008735,0.008896,0.00852,0.008796,150933.55
1548201600000.0,0.008798,0.008998,0.00878,0.008919,119879.96
1548288000000.0,0.008919,0.009239,0.008757,0.009116,136152.15
1548374400000.0,0.009116,0.009211,0.008996,0.009158,122537.96
1548460800000.0,0.009166,0.009358,0.009136,0.009201,142153.66
1548547200000.0,0.0092,0.009272,0.008973,0.009074,137073.11
